id,gold_answer,model_extracted,question
872,"['A', 'C']","['A, A']","The best type of chart for comparing two sets of categorical data is: [ANS] A. a bar chart  B. a histogram  C. a pie chart  D. a line chart
The total area of the six bars in a relative frequency histogram for which the width of each bar is five units is: [ANS] A. 1  B. 6  C. 5  D. 11"
874,['3907.09253843542'],['3400.09'],A steep mountain is inclined 74 degree to the horizontal and rises 3400 ft above the surrounding plain. A cable car is to be installed from a point 950 ft from the base to the top of the mountain. Find the shortest length of cable needed. Your answer is [ANS] ft;
876,"['65161.4312781021', '69080.7893732563', '40470.5530362312']","['65302.54, 69010.24, 40400.00']","Country Day's scholarship fund receives a gift of \$ 174712.77368759. The money is invested in stocks, bonds, and CDs. CDs pay 3.25 \% interest, bonds pay 3.2 \% interest, and stocks pay 10.4 \% interest. Country day invests \$ 28610.236337025 more in bonds than in CDs. If the annual income form the investments is \$ 10302.6670865443, how much was invested in each vehicle?
Country Day invested \$ [ANS] in stocks. Country Day invested \$ [ANS] in bonds. Country Day invested \$ [ANS] in CDs."
884,"['2.75 x + 40108', '4.86 x', '4.86 x -(2.75 x + 40108)', '19009']","['40108 + 2.75x', '4.86x', '2.11x - 40108', '19000']","A company that makes thing-a-ma-bobs has a start up cost of \$40108. It costs the company \$2.75 to make each thing-a-ma-bob and the company charges \$4.86 for each thing-a-ma-bob. Let $x$ represent the number of thing-a-ma-bobs made.
Write the cost function for this company. $C(x)$=[ANS]
Write the revenue function for this company. $R(x)$=[ANS]
Write the profit function for this company. $P(x)=R(x)-C(x)$=[ANS]
What is the minimum number of thing-a-ma-bobs that the company must pruduce and sell to make a profit? Answer=[ANS]"
888,"['1732.56079739141', 'YES']","['1732.56, yes']","The official Visual Flight Rules require that the distance between the ground and the bottom of the clouds to be more than 1000 feet for a plane to fly without instrumentation. At night, cloud height can be determined by aiming a searchlight straight upward and having an observer find the angle of elevation to the point at which the light hits the clouds. Suppose the observer stands 700 feet away from the searchlight and sights the beam of light on the clouds with an angle of elevation $68 ^ \circ$. What is the height of the cloud cover? (Round your answer to two decimal places.) [ANS] feet
Would the Visual Flight Rules allow a plane to fly without instrumentation in these conditions? Answer 'yes' or 'no'. [ANS]"
892,"['1.6105+0.8574*x', '32', 'Extrapolation', 'Interpolation', 'Extrapolation', 'Interpolation']","['y = 0.8573x + 1.6156', '32', '\\text{Extrapolation, Interpolation, Extrapolation, Interpolation}']","The table below gives the data on hand strength collected from college freshman using a grip meter. The preferred row gives the hand strength of each student's preferred hand while the nonpreferred column gives the hand strength of their nonpreferred hand.
$\begin{array}{ccccccccccc}\hline Preferred & 53 & 26 & 52 & 47 & 21 & 30 & 32 & 20 & 28 & 40 \\ \hline Nonpreferred & 48 & 20 & 45 & 43 & 21 & 26 & 28 & 21 & 25 & 36 \\ \hline \end{array}$
$\begin{array}{ccccccccccc}\hline Preferred & 49 & 45 & 54 & 25 & 39 & 52 & 27 & 45 & 32 & 28 \\ \hline Nonpreferred & 41 & 43 & 50 & 26 & 32 & 45 & 26 & 43 & 26 & 26 \\ \hline \end{array}$
(a) Use a calculator or computer to find the least squares regression line, $y=mx+b$, where the independent variable $x$ denotes the grip strength of the preferred hand and the dependent variable $y$ denotes the grip strength of the nonpreferred hand. Enter the equation for the line below. (Use at least four decimal places in any constants in your answer.) $y=$ [ANS]
(b) What would the predicted grip strength in the nonpreferred hand be for a student with a preferred hand strength of 35 kg? strength=[ANS] kg (round to nearest whole number) (c) For each of the preferred grip strengths values, decided whether you would use extrapolation or interpolation to approximate the value of the corresponding nonpreferred grip strength. (i) A preferred grip strength of 15 kg? [ANS] (ii) A preferred grip strength of 35 kg? [ANS] (iii) A preferred grip strength of 57 kg? [ANS] (iv) A preferred grip strength of 28 kg? [ANS]"
895,['25.7736072011703'],['25.761'],"Let p(x)=4.9x^{1.9}. Use a calculator or a graphing program to find the slope of the tangent line to the point (x,p(x)) when x=3.1). Give the answer to 3 places. [ANS]"
899,"['1', '1/27']","['1', '\\dfrac{1}{27}']","Evaluate each exponential expression: a) $(-1)^{60}=$ [ANS]
b) $-(-\frac{1}{3})^3=$ [ANS]
(Note: Your answer must be a fraction.)"
900,"['54.4444444444444', '270.777777777778', '16.4553267295966', '49', '7.2', '2.68328157299975', '2.96', '0.273', '0.522494019104525']","['54.44', '270.74', '16.46', '49', '7.2', '2.68', '2.96', '0.27', '0.52']","For each of the given the data sets below, calculate the mean, variance, and standard deviation.
(a) $\ 76, \ 59, \ 63, \ 73, \ 31, \ 34, \ 58, \ 58, \ 38$ mean $=$ [ANS] variance $=$ [ANS] standard deviation $=$ [ANS]
(b) $\ 50, \ 53, \ 45, \ 50, \ 48, \ 48$ mean $=$ [ANS] variance $=$ [ANS] standard deviation $=$ [ANS]
(c) $\ 3.3, \ 3.5, \ 2.4, \ 2.4, \ 3.2$ mean $=$ [ANS] variance $=$ [ANS] standard deviation $=$ [ANS]"
903,"['64.50478703', '66.69521297', '34.3422654182999', '36.4577345817001', '38.68600932', '40.51399068', '28.098635895599', '29.901364104401']","['64.506 \\leq \\mu \\leq 66.694', '34.343 \\leq \\mu \\leq 36.457', '38.686 \\leq \\mu \\leq 40.514', '28.101 \\leq \\mu \\leq 29.899']","A random sample of $n$ measurements was selected from a population with unknown mean $\mu$ and standard deviation $\sigma$. Calculate a 99\% confidence interval for $\mu$ for each of the following situations:
(a) $\ $ $n=100, \ \overline{x}=65.6, \ s=4.17$ [ANS] $\leq \mu \leq$ [ANS]
(b) $\ $ $n=85, \ \overline{x}=35.4, \ s=3.7$ [ANS] $\leq \mu \leq$ [ANS]
(c) $\ $ $n=100, \ \overline{x}=39.6, \ s=3.48$ [ANS] $\leq \mu \leq$ [ANS]
(d) $\ $ $n=105, \ \overline{x}=29, \ s=3.52$ [ANS] $\leq \mu \leq$ [ANS]"
904,['33348.3181818182+897.590909090909*t'],"['897.59t + 33348.32', '897.59t + 33348.32']","The table below contains the average public school classroom teacher's salaries, $S$, for an 11-year period. Letting $t=0$ represent 1990, use a graphing utility to find a linear model for the data.
$\begin{array}{ccccccc}\hline Year & 1990 & 1991 & 1992 & 1993 & 1994 & 1995 \\ \hline Salary & 33592 & 34887 & 34370 & 35394 & 37188 & 38158 \\ \hline \end{array}$
$\begin{array}{cccccc}\hline Year & 1996 & 1997 & 1998 & 1999 & 2000 \\ \hline Salary & 38313 & 39728 & 41309 & 40667 & 42593 \\ \hline \end{array}$
Salary, written as a function of $t$ is given by
$S(t)=$ [ANS]"
905,['531'],['193'],A survey of 88 students found that 38\% were in favor of raising tuition to build a new recreation center. The standard deviation of the sample proportion is 8.6\%. How large a sample (to the nearest person) would be required to reduce this standard deviation to 3.5\%? Answer: [ANS]
909,"['((87 - 71)/(176 - 118))*(N - 176) + 87', '80.6551724137931']","['\\frac{8}{29}N + \\frac{1115}{29}, 80.66']","Biologists have noticed that the chirping of crickets of a certain species is related to temperature, and the relationship appears to be very nearly linear. A cricket produces 118 chirps per minute at 71 degrees Fahrenheit and 176 chirps per minute at 87 degrees Fahrenheit.
Find a linear equation that models the temperature $T$ as a function of the number of chirps per minute $N$. $T(N)=$ [ANS]
If the crickets are chirping at 153 chirps per minute, estimate the temperature: Temperature=[ANS]"
910,['8.10183'],['\\frac{3978}/{491}'],A Level III video editor takes $18$ hours to add special effects to a movie. A Level II video editor takes $26$ hours and a Level I video editor takes $34$ hours. Find how long it would take them to add the special effects if they all work together. Answer: [ANS] hours
920,"['(34.9245581634078,42.2754418365922)']","['[34.9\\%, 42.3\\%]']","In a random sample of 740 Americans, 38.6\% indicated that they have a cat for a pet. Estimate with 96\% confidence the proportion of all Americans that have cats as pets. (Give the confidence interval in percentages.) Confidence Interval: [ANS]"
921,"['79.7273', '82', 'SKEWED LEFT']","['79.73, 82, SKEWED LEFT']","Calculate the mean and median of the following grades on a math test: 96, \ 88, \ 87, \ 86, \ 84, \ 82, \ 80, \ 76, \ 69, \ 68, \ 61
Mean=[ANS]
Median=[ANS]
Is this data set skewed to the right, symmetric, or skewed to the left? [ANS]
(Enter ""SKEWED RIGHT"", ""SYMMETRIC"", or ""SKEWED LEFT"");"
924,['16.3258'],['16.33'],"A ramp is set up from a truck’s trunk to the ground. The ramp’s end at the edge of the trunk is ${4.5\ {\rm ft}}$ high. If the angle between the ramp and the ground is $16$ degrees, find the length of the ramp. Round your answer to two decimal places if needed. The length of the ramp is [ANS]ft."
925,"['64.7142857142857', '11.7432858223226']","['64.71', '11.74']","Consider the following data set. Find the mean and standard deviation. Data set: 69, 72, 79, 47, 50, 68, 68
Mean: [ANS]
Standard deviation: [ANS]"
926,"['28', '1.67432']","['28', '1.674']","Suppose a random variable $x$ is normally distributed with $\mu=28$ and $\sigma=5.8$. According to the Central Limit Theorem, for samples of size 12:
(a) The mean of the sampling distribution for $\bar x$ is: [ANS]
(b) The standard deviation of the sampling distribution for $\bar x$ is: [ANS]"
932,"['0.949453564146192', 'B', '-2.37716249001277', '0.162965396701103', '9.84524226256998']","['0.947', 'B', '-2.43', '0.163', '9.80']","The amounts of 6 restaurant bills and the corresponding amounts of the tips are given in the below. \begin{array}{c|cccccc} \mbox{Bill} & 52.44 & 64.30 & 106.27 & 70.29 & 49.72 & 88.01 \cr \hline \mbox{Tip} & 7.00 & 7.70 & 16.00 & 10.00 & 5.28 & 10.00 \cr \end{array} Use a 0.05 confidence level to find the following: The test statistic $r=$ [ANS]
Is there a significant correlation? [ANS] A. No  B. Yes
The regression equation is $\hat{y}=$ [ANS] $+$ [ANS] $x.$ If the amount of the bill is \$ $75,$ the best prediction for the amount of the tip is [ANS]"
937,"['9.37096811406155', '13.0290318859384', '8.94287262024945', '13.4571273797505']","['9.37, 13.03, 8.94, 13.46']","The following random sample was selected from a normal distribution: \begin{array}{llllllllll} 12& 13& 7& 15& 7& 12& 8& 16& 12& 10 \cr \end{array}
(a) $\ $ Construct a $90$ \% confidence interval for the population mean $\mu$. [ANS] $\leq \mu \leq$ [ANS]
(b) $\ $ Construct a $95$ \% confidence interval for the population mean $\mu$. [ANS] $\leq \mu \leq$ [ANS]"
938,"['9*a+4*p', '7.9']","['9a + 4p', '7.90']","(a) Write an expression for the total cost of buying 9 apples at \$ $a$ each and 4 pears at \$ $p$ each. Your expression should be in terms of $a$ and $p$. \$ [ANS]
(b) Find the total cost if apples cost \$ $0.50$ each and pears cost \$ $0.85$ each. \$ [ANS]"
940,"['7.31285', '7.38789', '8.2397', '8.64226', '3.19839', '3.39998', 'Yes', 'D']","['10.234', '9.876', '10.567', '10.123', '11.234', '10.987', 'Yes', 'A']","The questions involves the data set for Richmond townhouses obtained on 2014.11.03. For your subset, the response variable is: asking price divided by 10000: askpr=c(41.99, 77.8, 46.8, 54.8, 49.9, 51.68, 50.5, 65.8, 40.9, 60.8, 40.8, 50.8, 79.8, 40.8, 33.7, 57.8, 47.8, 86.8, 56.8, 50.8, 65.99, 47.9, 54.98, 68.5, 26.99, 55.2, 48.8, 53.9, 52.4, 57.8, 74.8, 45.99, 78.8, 58.39, 71.99, 62.9, 53.8, 58.8, 73.8, 108.8, 73.9, 55.8, 61.5, 62.8888, 54.8, 25.9, 59.8, 51.99, 68.5, 44.8) The explanatory variables are: (i) finished floor area divided by 100 ffarea=c(12.9, 16.5, 16.2, 15.46, 15.6, 15.1, 12.26, 13.45, 16.06, 13.2, 14, 16.6, 15.25, 12.26, 12, 12.01, 13.34, 15.08, 15.5, 12.27, 22.78, 12.1, 13.06, 13.59, 10.5, 15.3, 14.8, 11.84, 16.22, 13.84, 17.48, 16.01, 19.48, 15.09, 15.05, 14, 10.95, 17.37, 17.54, 23.98, 15.15, 13.06, 14.5, 15.77, 11.26, 6.1, 17.63, 12.09, 15.76, 9.4) (ii) age=c(44, 3, 30, 41, 20, 20, 3, 1, 25, 3, 38, 23, 3, 29, 28, 0, 32, 1, 23, 17, 35, 7, 1, 2, 37, 9, 50, 15, 25, 10, 5, 25, 11, 8, 8, 5, 18, 26, 9, 16, 0, 0, 7, 6, 0, 11, 26, 7, 4, 14) (iii) monthly maintenance fee divided by 10 mfee=c(23.2, 25.4, 16, 31, 27, 24.5, 18, 18.2, 24.4, 18.9, 23, 19.9, 35, 19.8, 25.9, 14.2, 24.5, 48.8, 17.4, 25.2, 57.4, 18, 19.6, 17, 28, 16.9, 25, 21, 36.4, 16, 29.7, 33.7, 20.4, 20.3, 22.3, 19.6, 24.7, 31, 18.2, 36.9, 22.2, 18.6, 18.7, 35.7, 24.8, 17.1, 32, 18.1, 22.1, 23.3) (iv) number of bedrooms beds=c(3, 4, 4, 3, 3, 3, 3, 3, 2, 3, 3, 4, 2, 3, 2, 3, 3, 3, 3, 2, 2, 3, 3, 3, 2, 3, 3, 2, 3, 3, 4, 3, 3, 4, 3, 3, 2, 3, 4, 3, 4, 3, 3, 3, 2, 1, 5, 3, 4, 2) After you have copied the above R vectors into your R session, you can get a dataframe with richmondtownh=data.frame(askpr,ffarea,age,mfee,beds)
The corresponding vectors for the holdout set are: askpr.ho=c(57.5, 53.8, 68.8, 58.68, 79.99, 56.88, 48.5, 68.8, 81.9) ffarea.ho=c(13.46, 12.22, 15.95, 13.96, 22, 15.78, 14.8, 16.9, 20.95) age.ho=c(10, 9, 18, 9, 20, 17, 24, 8, 19) mfee.ho=c(22.1, 18.5, 23.6, 22, 26.7, 17.3, 16.1, 19.4, 34.8) beds.ho=c(3, 3, 3, 3, 3, 4, 3, 4, 1)
Create a second data frame: holdout=data.frame(askpr.ho,ffarea.ho,age.ho,mfee.ho,beds.ho) names(holdout)=names(richmondtownh) [to make variables names the same as before]
Use the ls.cvrmse() function from the course web site with 3 and 4 explanatory variables, when askpr is the response variable. For 4 explanatory variables, all of the above are included. For 3 explanatory variables, all of the above are included except beds.
Please use 3 decimal places for the answers below which are not integer-valued
Part a) The values of residual SD or residual SE for the regressions with 3 and 4 explanatory variables are respectively: 3 explanatory: [ANS]
4 explanatory: [ANS]
Part b) The values of the leave-one-out cross-validation RMS prediction error for the regressions with 3 and 4 explanatory variables are respectively: 3 explanatory: [ANS]
4 explanatory: [ANS]
Part c) The values of the holdout RMS prediction error for the regressions with 3 and 4 explanatory variables are respectively: 3 explanatory: [ANS]
4 explanatory: [ANS]
Part d) Do you get the same conclusion on which is better between the 3-explanatory versus 4-explanatory models from the summaries in (a), (b), (c). [ANS] (enter either Yes or No).
Part e) Compare the three values for the models with 3 explanatory variables (respectively 4 explanatory); that is, values of residual SE, leave-one out root mean square error and holdout subset root mean square error for 3 explanatory (respectively, 4 explanatory). What is the best explanation for the root mean square prediction errors to be larger for parts (b) and (c)? [ANS] A. out-of-sample variability is always larger  B. sampling variability  C. sample size is small  D. the RMS prediction error values were not always larger for my data set  E. the linear approximation to a non-linear function of the explanatory variables"
941,"['EQUIVALENT', 'NOT EQUIVALENT', 'EQUIVALENT', 'Not Equivalent', 'Not Equivalent']","['\\text{Yes, Yes, Yes, No, No}']","Determine whether the expressions are equivalent or not.
[ANS] 1. $-a+2$ and $-(a-2)$
[ANS] 2. $-a+2$ and $-2a+4/2$
[ANS] 3. $-a+2$ and $2-a$
[ANS] 4. $-a+2$ and $-(2-a)$
[ANS] 5. $-a+2$ and $-(a+2)$"
945,"['Facts', 'Terms', 'Variable', 'Variable', 'Variable', 'Number']","['\\text{premises}, \\text{terms}, \\text{variable}, \\text{variables and exponents}, \\text{variable}, \\text{number}']","Fill in the blanks below by choosing from the available options Deductive Reasoning: The process of reasoning logically to get a conclusion from given [ANS] Simplify: The process of replacing an expression with an equivalent one that has a smaller number of [ANS] Constant: A term without a [ANS] Like Terms: Terms which have the same [ANS] Term: A number or the product of a number and a [ANS] Coefficient: In each term, the variable is multiplied by this [ANS]"
951,"['-15/13', '-13/15']","['-\\dfrac{15}{13}', '-\\dfrac{13}{15}']","Given that ${\textstyle\frac{15}{13}}$ is the opposite of a number, find the number and that number's reciprocal:
(a) Number: [ANS]
(b) Number's reciprocal [ANS]"
953,"['0.144634', '0.25149']","['0.145', '0.252']","You are being given the covariance matrix of a multiple regression with ${\hat\beta}_0,{\hat\beta}_1,\ldots,{\hat\beta}_5,{\hat\beta}_6, \ldots,{\hat\beta}_9$ where $x_1,\ldots,x_5$ are numerical explanatory variables and $x_6,\ldots,x_9$ are 4 binary dummy variables for 4 different categories relative to the baseline category. The categorical explanatory variable has 5 categories.
You are given that the estimated covariance matrix is: $\left[\begin{array}{cccccccccc} 0.33347 &-0.00123 &0.000379 &-0.00635 &-0.007631 &-0.000744 &-0.036518 &-0.054614 &-0.049256 &-0.043163\cr-0.00123 &1.1\times 10^{-5} &3\times 10^{-6} &0 &3.6\times 10^{-5} &1\times 10^{-6} &1.9\times 10^{-5} &0.000121 &0.0002 &9.9\times 10^{-5}\cr 0.000379 &3\times 10^{-6} &1.9\times 10^{-5} &-3.5\times 10^{-5} &2.6\times 10^{-5} &-1.1\times 10^{-5} &-7.2\times 10^{-5} &1.2\times 10^{-5} &3.2\times 10^{-5} &-1.6\times 10^{-5}\cr-0.00635 &0 &-3.5\times 10^{-5} &0.000281 &7.7\times 10^{-5} &1.9\times 10^{-5} &0.000796 &0.000944 &0.000292 &0.000309\cr-0.007631 &3.6\times 10^{-5} &2.6\times 10^{-5} &7.7\times 10^{-5} &0.00051 &-4\times 10^{-5} &0.001221 &0.002007 &0.001827 &0.001396\cr-0.000744 &1\times 10^{-6} &-1.1\times 10^{-5} &1.9\times 10^{-5} &-4\times 10^{-5} &1.6\times 10^{-5} &-3.2\times 10^{-5} &-6.9\times 10^{-5} &-2.1\times 10^{-5} &6.8\times 10^{-5}\cr-0.036518 &1.9\times 10^{-5} &-7.2\times 10^{-5} &0.000796 &0.001221 &-3.2\times 10^{-5} &0.022795 &0.016794 &0.014729 &0.014576\cr-0.054614 &0.000121 &1.2\times 10^{-5} &0.000944 &0.002007 &-6.9\times 10^{-5} &0.016794 &0.030437 &0.017899 &0.016878\cr-0.049256 &0.0002 &3.2\times 10^{-5} &0.000292 &0.001827 &-2.1\times 10^{-5} &0.014729 &0.017899 &0.025177 &0.017092\cr-0.043163 &9.9\times 10^{-5} &-1.6\times 10^{-5} &0.000309 &0.001396 &6.8\times 10^{-5} &0.014576 &0.016878 &0.017092 &0.029926 \end{array}\right]$ or in R: acov=matrix(c(0.33347,-0.00123, 0.000379,-0.00635,-0.007631,-0.000744,-0.036518,-0.054614,-0.049256,-0.043163,-0.00123, 1.1e-05, 3e-06, 0, 3.6e-05, 1e-06, 1.9e-05, 0.000121, 0.0002, 9.9e-05, 0.000379, 3e-06, 1.9e-05,-3.5e-05, 2.6e-05,-1.1e-05,-7.2e-05, 1.2e-05, 3.2e-05,-1.6e-05,-0.00635, 0,-3.5e-05, 0.000281, 7.7e-05, 1.9e-05, 0.000796, 0.000944, 0.000292, 0.000309,-0.007631, 3.6e-05, 2.6e-05, 7.7e-05, 0.00051,-4e-05, 0.001221, 0.002007, 0.001827, 0.001396,-0.000744, 1e-06,-1.1e-05, 1.9e-05,-4e-05, 1.6e-05,-3.2e-05,-6.9e-05,-2.1e-05, 6.8e-05,-0.036518, 1.9e-05,-7.2e-05, 0.000796, 0.001221,-3.2e-05, 0.022795, 0.016794, 0.014729, 0.014576,-0.054614, 0.000121, 1.2e-05, 0.000944, 0.002007,-6.9e-05, 0.016794, 0.030437, 0.017899, 0.016878,-0.049256, 0.0002, 3.2e-05, 0.000292, 0.001827,-2.1e-05, 0.014729, 0.017899, 0.025177, 0.017092,-0.043163, 9.9e-05,-1.6e-05, 0.000309, 0.001396, 6.8e-05, 0.014576, 0.016878, 0.017092, 0.029926),10,10)
Please use 3 decimal places for the answers below which are not integer-valued.
Part a) Based on the (estimated) covariance matrix, what is the SE of ${\hat\beta}_{9}-{\hat\beta}_{8}$? Note that ${\hat\beta}_{9}-{\hat\beta}_{8}$ corresponds to the estimated distance of the hyperplanes for two different categories where the binary dummy variables are indexed as $x_{9}$ and $x_{8}$. [ANS]
Part b) Based on the (estimated) covariance matrix, what is the SE of ${\hat\beta}_{9}+{\hat\beta}_{8}-2{\hat\beta}_{6}$? Note that ${\hat\beta}_{9}+{\hat\beta}_{8}-2{\hat\beta}_{6}$ corresponds to a contrast to two categories (where the binary dummy variables are indexed as $x_{9}$) and $x_{8}$ with a third category (where the binary dummy variable is indexed as $x_{6}$). [ANS]"
956,['A'],['6'],Reggie received a free movie ticket for every 15 movies he rented at Sky Videos. Reggie rented 92 movies at Sky Videos. What is he total number of free movie tickets that Reggie received? [ANS] A. 6  B. 8  C. 7  D. 5
966,"['5', '0.1', '10', '0.2', '10', '0.2', '16', '0.32', '5', '0.1', '4', '0.08', '0', '0']","['5, 0.10, 10, 0.20, 9, 0.18, 16, 0.32, 5, 0.10, 4, 0.08, 0, 0']","The U.S. Bureau of the Census conducts nationwide surveys on characteristics of U.S. households. Following are data on the number of people per household for a sample of 50 households. Construct a grouped data table for these household sizes.
$\begin{array}{cccccccccc}\hline 5 & 5 & 4 & 6 & 3 & 1 & 4 & 4 & 4 & 5 \\ \hline 4 & 3 & 4 & 3 & 3 & 4 & 4 & 1 & 2 & 3 \\ \hline 4 & 4 & 4 & 2 & 4 & 5 & 5 & 3 & 1 & 2 \\ \hline 3 & 1 & 3 & 6 & 6 & 4 & 2 & 3 & 6 & 2 \\ \hline 2 & 2 & 2 & 3 & 2 & 4 & 4 & 2 & 1 & 4 \\ \hline \end{array}$
$\begin{array}{ccc}\hline Household size & Frequency & Relative Frequency \\ \hline 1 & [ANS] & [ANS] \\ \hline 2 & [ANS] & [ANS] \\ \hline 3 & [ANS] & [ANS] \\ \hline 4 & [ANS] & [ANS] \\ \hline 5 & [ANS] & [ANS] \\ \hline 6 & [ANS] & [ANS] \\ \hline 7 & [ANS] & [ANS] \\ \hline Total & 50 & 1 \\ \hline \end{array}$"
969,"['Inversely proportional', '1480/n', '16']","['\\text{inversely proportional}', '\\dfrac{1480}{n}', '16']","A group of friends rent a house at the beach for spring break for a total cost of \$ $1480$.
(a) Suppose all the members of the group pay an equal share of the total cost. Is the cost to each person directly or inversely proportional to the number of people sharing the house? Be sure you can explain your reasoning. [ANS]
(b) Write a formula for the cost $C$ per person as a function of the number of students who share the house, $n$. $C(n)=$ [ANS]
(c) How many people are needed to share the house if each student wants to pay a maximum of \$ $95$? [ANS] students"
975,"['2.4', '-1.25']","['2.4', '-1.25']",The graph of a function $y=n (c)$ has a horizontal asymptote at $y=2$ and a vertical asymptote at $c=5$. Find equations for the asymptotes of $y=3-0.3 n(-4 c)$. Answers: $\quad y=$ [ANS] $\quad$ and $\quad c=$ [ANS]
976,['66.6614285714286'],['68.84'],"Two random samples are selected from two independent populations. A summary of the samples sizes and sample means is given below:
\begin{array}{ll} n_1=47, & \bar{x}_1=56.2 \\ n_2=46, & \bar{x}_2=77.2 \\ \end{array} If the 95.5\% confidence interval for the difference $\mu_1-\mu_2$ of the means is (-24.4421,-17.5579), what is the value of the pooled variance estimator? (You may assume equal population variances.) Pooled Variance Estimator=[ANS]"
977,['2*x*sqrt(6^2-x^2)/(2*x^2-6^2)'],['\\dfrac{x \\sqrt{36 - x^2}}{x^2 - 18}'],Simplify the expression \tan\left(2\cos^{-1}(x/6)\right) answer=<answer \%\%IDPREFIX\%\%first_answer text>
978,['0.0158346381172345'],['0.0158'],"Determine the probability of making a Type II error for the following hypothesis test, given that $\mu=1089$.
$ \qquad \begin{array}{rrcl} H_0: \mu=1050 \\ H_1: \mu > 1050 \end{array}$ For this test, take $\sigma=51$, $n=26$, and $\alpha=0.04$. P(Type II Error)=[ANS]"
980,"['1957.2', '660']","['1957.20', '660']","In a city, the property tax rate for per thousand dollars of property value is ${\$4.66}$. Fill in blanks: Question 1: The owner of a house worth $420$ thousand dollars should pay [ANS] dollars in tax.
Question 2: The owner of a house worth [ANS] thousand dollars should pay ${\$3{,}075.60}$ in tax."
985,"['(5, -4)']","['5, -4']","Find all solutions in the complex numbers to the equation x^2-x-20=0 and enter them as a comma-separated list. If there is a repeated root, list it as many times as its multiplicity.
Solutions: [ANS]"
987,"['2.947', '2.947*1.26/[sqrt(16)]']","['2.947', '0.928']","A random sample of 16 size AA batteries for toys yield a mean of 3.37 hours with standard deviation, 1.26 hours.
(a) Find the critical value, t*, for a 99\% CI. t*=[ANS]
(b) Find the margin of error for a 99\% CI. [ANS]"
990,"['250*e^(-[ln(250/20)]/2*t)', '250-250*e^(-[ln(250/20)]/2*0.25)', '250*e^(-[ln(250/20)]/2*0.25)-250*e^(-[ln(250/20)]/2*0.5)', '-[ln(y/250)]/([ln(250/20)]/2)', '-[ln(5/250)]/([ln(250/20)]/2)']","['250 e^{-1.2629 t}', '67.38', '49.63', '\\frac{\\ln(250/y)}{1.2629}', '3.10']","A hot brick is removed from a kiln at $250^{\circ}$ C above room temperature. Over time, the brick cools off. After 2 hours have elapsed, the brick is $20^{\circ}$ C above room temperature. Let $t$ be the time in hours since the brick was removed from the kiln. Let $y=H(t)$ be the difference between the brick's and the room's temperature at time $t$. Assume that $H(t)$ is an exponential function.
(a) Find a formula for $H(t)$. $H(t)=$ [ANS]. (b) How many degrees does the brick's temperature drop during the first quarter hour? It drops [ANS] $^{\circ}$ C. (c) How many degrees does the temperature drop during the next quarter hour? It drops [ANS] $^{\circ}$ C. (d) Find $H^{-1}(y)$. $H^{-1}(y)=$ [ANS]. (e) How much time elapses before the brick's temperature is $5^{\circ}$ C above room temperature? time=[ANS] hours."
996,"['3', '4', '5', '1', '2']","['4, 5, 1, 2, 3']","A Norman window has the shape of a rectangle surmounted by a semicircle. The perimeter is 43.000 ft. Order the widths listed below according to the area of the corresponding Norman window from the lowest area (1) to highest area (5). You will need to enter the numbers 1 through 5 in the entry blanks below. [ANS] 1. Width=9.600 ft. [ANS] 2. Width=10.000 ft. [ANS] 3. Width=11.200 ft. [ANS] 4. Width=6.400 ft. [ANS] 5. Width=6.700 ft.
Remark: To be able to order the sizes of the windows you are going to have to calculate the area for all five windows from knowing their widths. Since there are several calculations it will save time to figure out and simplify a formula which calculates the area from the width and the perimeter."
1000,['0.124355'],['\\arctan\\left(\\frac{1}{8}\\right)'],Find the equation in polar coordinates of the line through the origin with slope $\frac{1}{8}$. $\theta=$ [ANS]
1002,"['E', '(C-350)/0.2']","['C, E', '5(C - 350)']","Let $C=f(q)=350+0.2 q$ give the cost in dollars to manufacture $q$ kg of a chemical. a) Which of the following statement(s) correctly explain the meaning of $f^{-1}(C)$? Check all that apply. [ANS] A. The number of kgs. of chemical that can be manufactured for each 1 dollar spent.  B. The cost of manufacturing $C$ kgs. the chemical.  C. The number of kgs. of the chemical someone can purchase with $C$ dollars.  D. The cost of manufacturing one kg. of the chemical.  E. The number of kgs. of the chemical that can be manufactured with $C$ dollars.  F. None of the above
(b) Find a formula for $f^{-1}(C)=$ [ANS]"
1005,"['-19', '-19/8']","['-\\dfrac{19}{8}', '-\\dfrac{19}{8}']","Suppose $y=2 \cos{(8 t+19)}+3$. In your answers, enter pi for $\pi$.
(a) What is the phase shift? [ANS]
(b) What is the horizontal shift? [ANS]"
1007,"['32', '96', '52']","['32', '96', '52']","In triangle $ABC$, angle $B$ is three times as large as angle $A$. The measure of angle $C$ is $20^{\circ}$ more than that of angle $A$. Find the measures of the angles. $A$: [ANS] degrees $B$: [ANS] degrees $C$: [ANS] degrees"
